time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.574996,-0.013549,0.001097,0.002304,0.048052
0.579996,-0.013551,0.001276,-0.001979,0.043714
0.584996,-0.013573,0.001531,-0.006343,0.040572
0.589996,-0.013619,0.001508,-0.010790,0.032022
0.594996,-0.013686,0.001685,-0.015254,0.023999
0.599996,-0.013775,0.001589,-0.019631,0.013376
0.604996,-0.013886,0.015999,-0.023963,0.003346
0.609996,-0.014019,0.016058,-0.028180,-0.002209
0.614996,-0.014172,0.016032,-0.032350,-0.009444
0.619996,-0.014346,0.015960,-0.036402,-0.011495
0.624996,-0.014540,0.015876,-0.040320,-0.018775
0.629995,-0.014753,0.015840,-0.044044,-0.025810
0.634995,-0.014984,0.015678,-0.047639,-0.029447
0.639995,-0.015233,0.015562,-0.051151,-0.040079
0.644995,-0.015499,0.015307,-0.054570,-0.045397
0.649995,-0.015782,0.015165,-0.057897,-0.043452
0.654995,-0.016081,0.014903,-0.061174,-0.045968
0.659995,-0.016397,0.014736,-0.064338,-0.046438
0.664995,-0.016727,0.014444,-0.067382,-0.051572
0.669995,-0.017073,0.014164,-0.070363,-0.058540
0.674995,-0.017434,0.013801,-0.073194,-0.065145
0.679995,-0.017808,0.013221,-0.075813,-0.079959
0.684995,-0.018194,0.012732,-0.078191,-0.085223
0.689995,-0.018591,0.012761,-0.080328,-0.073405
0.694995,-0.018999,0.012313,-0.082222,-0.075577
0.699995,-0.019415,0.011562,-0.083852,-0.092470
0.704994,-0.019839,0.011788,-0.085307,-0.101815
0.709994,-0.020269,0.011075,-0.086607,-0.095904
0.714994,-0.020706,0.010485,-0.087761,-0.100195
0.719994,-0.021148,0.010130,-0.088785,-0.104798
0.724994,-0.021594,0.009496,-0.089663,-0.107184
0.729994,-0.022045,0.009104,-0.090382,-0.111707
0.734994,-0.022498,0.008424,-0.090918,-0.115901
0.739994,-0.022954,0.007933,-0.091244,-0.109573
0.744994,-0.023411,0.007271,-0.091345,-0.111103
0.749994,-0.023867,0.006826,-0.091222,-0.111454
0.754994,-0.024322,0.006152,-0.090882,-0.114803
0.759994,-0.024775,0.005726,-0.090326,-0.115661
0.764994,-0.025224,0.005024,-0.089566,-0.116661
0.769994,-0.025670,0.004687,-0.088642,-0.107640
0.774994,-0.026110,0.004035,-0.087555,-0.108007
0.779994,-0.026544,0.003664,-0.086322,-0.105435
0.784993,-0.026971,0.003034,-0.084926,-0.101982
0.789993,-0.027391,0.002444,-0.083349,-0.107480
0.794993,-0.027803,0.001796,-0.081612,-0.109865
0.799993,-0.028205,0.001097,-0.079665,-0.116897
0.804993,-0.028597,0.015477,-0.077430,-0.057102
0.809993,-0.028976,0.014736,-0.074892,-0.044934
0.814993,-0.029343,0.014470,-0.072130,-0.042819
0.819993,-0.029695,0.013799,-0.069318,-0.025181
0.824993,-0.030033,0.013647,-0.066616,-0.026364
0.829993,-0.030359,0.013681,-0.064097,-0.033465
0.834993,-0.030672,0.013485,-0.061872,-0.029318
0.839993,-0.030976,0.013350,-0.060031,-0.023515
0.844993,-0.031272,0.013209,-0.058655,-0.023391
0.849993,-0.031562,0.013123,-0.057746,-0.021816
0.854993,-0.031849,0.012995,-0.057309,-0.020981
0.859993,-0.032136,0.012831,-0.057306,-0.026338
0.864992,-0.032423,0.012679,-0.057675,-0.024963
0.869992,-0.032714,0.012496,-0.058346,-0.031429
0.874992,-0.033008,0.012300,-0.059235,-0.035280
0.879992,-0.033307,0.012196,-0.060282,-0.035743
0.884992,-0.033612,0.011971,-0.061421,-0.041900
0.889992,-0.033923,0.011718,-0.062596,-0.045227
0.894992,-0.034239,0.011438,-0.063752,-0.050766
0.899992,-0.034561,0.011446,-0.064842,-0.047524
0.904992,-0.034888,0.012711,-0.065864,-0.032669
0.909992,-0.035221,0.012752,-0.066818,-0.037779
0.914992,-0.035558,0.012516,-0.067724,-0.041900
0.919992,-0.035899,0.012328,-0.068613,-0.042275
0.924992,-0.036245,0.012065,-0.069496,-0.044596
0.929992,-0.036595,0.011903,-0.070401,-0.047715
0.934992,-0.036950,0.011617,-0.071353,-0.050438
0.939991,-0.037309,0.011390,-0.072352,-0.047361
0.944991,-0.037674,0.011103,-0.073402,-0.050145
0.949991,-0.038044,0.010894,-0.074506,-0.052380
0.954991,-0.038420,0.010569,-0.075669,-0.055257
0.959991,-0.038802,0.010217,-0.076886,-0.066031
0.964991,-0.039191,0.009817,-0.078151,-0.067967
0.969991,-0.039585,0.009553,-0.079416,-0.070355
0.974991,-0.039986,0.009120,-0.080622,-0.076207
0.979991,-0.040392,0.008865,-0.081744,-0.077397
0.984991,-0.040804,0.008397,-0.082755,-0.080056
0.989991,-0.041221,0.007916,-0.083619,-0.090145
0.994991,-0.041641,0.007372,-0.084323,-0.092411
0.999991,-0.042064,0.007307,-0.084842,-0.085690
1.004991,-0.042490,-0.002311,-0.085181,-0.098575
1.009991,-0.042916,-0.002642,-0.085329,-0.102649
1.014991,-0.043343,-0.003266,-0.085271,-0.106463
1.019992,-0.043768,-0.003871,-0.085000,-0.102792
1.024992,-0.044192,-0.004493,-0.084522,-0.103820
1.029992,-0.044612,-0.004934,-0.083841,-0.102970
1.034992,-0.045029,-0.005556,-0.082945,-0.105048
1.039993,-0.045441,-0.005995,-0.081823,-0.098845
1.044993,-0.045846,-0.006580,-0.080462,-0.096322
1.049993,-0.046243,-0.006988,-0.078895,-0.097662
1.054993,-0.046633,-0.007571,-0.077125,-0.098967
1.059994,-0.047012,-0.007943,-0.075193,-0.098039
1.064994,-0.047382,-0.008527,-0.073136,-0.096469
1.069994,-0.047742,-0.009052,-0.070972,-0.100963
1.074994,-0.048090,-0.009660,-0.068674,-0.100861
1.079994,-0.048426,-0.009989,-0.066275,-0.098476
1.084995,-0.048750,-0.010583,-0.063818,-0.099623
1.089995,-0.049061,-0.011152,-0.061262,-0.105203
1.094995,-0.049360,-0.011778,-0.058584,-0.103015
1.099995,-0.049644,-0.012278,-0.055818,-0.106065
1.104996,-0.049915,-0.008268,-0.052911,-0.099850
1.109996,-0.050170,-0.009106,-0.049848,-0.090172
1.114996,-0.050410,-0.009650,-0.046566,-0.087857
1.119996,-0.050632,-0.009911,-0.043099,-0.090843
1.124997,-0.050837,-0.010459,-0.039467,-0.092552
1.129997,-0.051023,-0.010850,-0.035763,-0.089378
